Date,ZipCode,WaterUse,PowerUse
06_2010,90010,108.15,333
07_2010,90010,125.67,390
08_2010,90010,128.51,400
09_2010,90010,125.44,376
10_2010,90010,127.35,391
11_2010,90010,116.12,403
12_2010,90010,107.54,431
01_2011,90010,116.63,435
02_2011,90010,116.22,388
03_2011,90010,123.02,387
04_2011,90010,114.09,359
05_2011,90010,121.69,355
06_2011,90010,118.82,345
07_2011,90010,132.84,388
08_2011,90010,129.52,397
09_2011,90010,129.63,374
10_2011,90010,126.65,388
11_2011,90010,114.39,397
12_2011,90010,113.17,419
01_2012,90010,110.53,409
02_2012,90010,104.68,375
03_2012,90010,113.07,376
04_2012,90010,111.23,352
05_2012,90010,122.84,355
06_2012,90010,121.41,349
07_2012,90010,11.5,426
08_2012,90010,11.5,447
09_2012,90010,12.25,421
10_2012,90010,12.75,424
11_2012,90010,11.25,393
12_2013,90010,11.25,425
01_2013,90010,7.25,437
02_2013,90010,6.25,378
03_2013,90010,7.25,350
04_2013,90010,7,321
05_2013,90010,7,357
06_2013,90010,7.25,354
07_2005,90011,26.88,309
08_2005,90011,26.83,313
09_2005,90011,24.45,282
10_2005,90011,24.55,291
11_2005,90011,22.43,307
12_2005,90011,22.87,319
01_2006,90011,22.8,313
02_2006,90011,20.71,281
03_2006,90011,22.54,301
04_2006,90011,21.51,288
05_2006,90011,25,297
06_2006,90011,24.61,288
07_2006,90011,27.56,340
08_2006,90011,27.66,345
09_2006,90011,24.29,286
10_2006,90011,24.79,292
11_2006,90011,22.79,319
12_2006,90011,23.06,333
01_2007,90011,22.5,337
02_2007,90011,20.24,305
03_2007,90011,23.43,298
04_2007,90011,22.81,281
05_2007,90011,24.77,290
06_2007,90011,24.46,281
07_2007,90011,26.26,332
08_2007,90011,26.27,335
09_2007,90011,23.96,293
10_2007,90011,24.27,301
11_2007,90011,21.87,320
12_2007,90011,21.74,334
01_2008,90011,21.26,338
02_2008,90011,19.52,317
03_2008,90011,22.45,298
04_2008,90011,22.24,280
05_2008,90011,23.24,299
06_2008,90011,22.39,291
07_2008,90011,25.3,334
08_2008,90011,25.35,337
09_2008,90011,23.49,301
10_2008,90011,23.7,309
11_2008,90011,21.74,324
12_2008,90011,21.61,338
01_2009,90011,21.39,324
02_2009,90011,19.15,290
03_2009,90011,22,297
04_2009,90011,21.61,280
